Date,Canada,Germany,Italy,Singapore,United States,Vietnam,China
2003-03-17,8.0,1.0,,20.0,,40.0,95
2003-03-18,8.0,2.0,,23.0,,57.0,123
2003-03-19,8.0,1.0,,31.0,11.0,56.0,150
2003-03-20,9.0,1.0,,34.0,11.0,62.0,173
2003-03-21,9.0,1.0,1.0,39.0,13.0,62.0,203
2003-03-22,9.0,2.0,2.0,44.0,22.0,63.0,222
2003-03-24,11.0,4.0,2.0,65.0,37.0,58.0,260
2003-03-25,11.0,4.0,2.0,69.0,39.0,58.0,286
2003-03-26,19.0,4.0,3.0,74.0,40.0,58.0,1108
2003-03-27,28.0,4.0,2.0,78.0,45.0,58.0,1173
2003-03-28,29.0,4.0,2.0,86.0,51.0,58.0,1231
2003-03-29,37.0,4.0,2.0,89.0,59.0,58.0,1276
2003-03-31,44.0,5.0,2.0,91.0,59.0,58.0,1336
2003-04-01,53.0,5.0,3.0,92.0,69.0,58.0,1491
2003-04-02,58.0,5.0,3.0,95.0,72.0,58.0,1898
2003-04-03,62.0,5.0,3.0,98.0,85.0,59.0,1924
2003-04-04,69.0,5.0,3.0,100.0,100.0,59.0,1981
2003-04-05,74.0,5.0,3.0,101.0,115.0,59.0,2020
2003-04-07,90.0,5.0,3.0,106.0,141.0,62.0,2151
2003-04-08,91.0,5.0,3.0,113.0,148.0,62.0,2207
2003-04-09,94.0,5.0,3.0,118.0,149.0,62.0,2250
2003-04-10,97.0,6.0,3.0,126.0,154.0,62.0,2288
2003-04-11,98.0,6.0,3.0,133.0,166.0,62.0,2368
2003-04-12,101.0,6.0,3.0,147.0,166.0,,2479
2003-04-14,100.0,6.0,3.0,158.0,174.0,63.0,2608
2003-04-15,100.0,6.0,3.0,162.0,193.0,63.0,2650
2003-04-16,103.0,6.0,3.0,162.0,193.0,63.0,2700
2003-04-17,126.0,6.0,3.0,167.0,199.0,63.0,2754
2003-04-18,132.0,6.0,3.0,177.0,220.0,63.0,2870
2003-04-19,132.0,6.0,3.0,177.0,220.0,63.0,2870
2003-04-21,132.0,6.0,3.0,178.0,39.0,63.0,3361
2003-04-22,139.0,7.0,3.0,186.0,38.0,63.0,3435
2003-04-23,140.0,7.0,3.0,189.0,39.0,63.0,3763
2003-04-24,140.0,7.0,4.0,192.0,37.0,63.0,3910
2003-04-25,140.0,7.0,4.0,195.0,39.0,63.0,4111
2003-04-26,142.0,7.0,4.0,198.0,41.0,63.0,4280
2003-04-28,142.0,7.0,8.0,199.0,41.0,63.0,4471
2003-04-29,146.0,7.0,9.0,201.0,41.0,63.0,4875
2003-04-30,148.0,7.0,9.0,201.0,52.0,63.0,5050
2003-05-01,147.0,7.0,9.0,201.0,54.0,63.0,5239
2003-05-02,149.0,7.0,9.0,203.0,56.0,63.0,5411
2003-05-03,149.0,7.0,9.0,203.0,54.0,63.0,5593
2003-05-05,148.0,7.0,9.0,204.0,61.0,63.0,5918
2003-05-06,148.0,7.0,9.0,204.0,65.0,63.0,6056
2003-05-07,146.0,8.0,9.0,204.0,65.0,63.0,6215
2003-05-08,146.0,8.0,9.0,204.0,63.0,63.0,6360
2003-05-09,145.0,9.0,9.0,204.0,63.0,63.0,6473
2003-05-10,145.0,9.0,9.0,205.0,64.0,63.0,6559
2003-05-12,143.0,9.0,9.0,205.0,64.0,63.0,6697
2003-05-13,143.0,9.0,9.0,205.0,64.0,63.0,6776
2003-05-14,143.0,9.0,9.0,205.0,64.0,63.0,6823
2003-05-15,142.0,9.0,9.0,205.0,64.0,63.0,6867
2003-05-16,140.0,9.0,9.0,205.0,65.0,63.0,6898
2003-05-17,140.0,9.0,9.0,205.0,66.0,63.0,6920
