,Canada,China,Germany,Italy,Singapore,US,Vietnam
1/22/20,0,548,0,0,0,1,0
1/23/20,0,643,0,0,1,1,2
1/24/20,0,920,0,0,3,2,2
1/25/20,0,1406,0,0,3,2,2
1/26/20,1,2075,0,0,4,5,2
1/27/20,1,2877,1,0,5,5,2
1/28/20,2,5509,4,0,7,5,2
1/29/20,2,6087,4,0,7,5,2
1/30/20,2,8141,4,0,10,5,2
1/31/20,4,9802,5,2,13,7,2
2/1/20,4,11891,8,2,16,8,6
2/2/20,4,16630,10,2,18,8,6
2/3/20,4,19716,12,2,18,11,8
2/4/20,4,23707,12,2,24,11,8
2/5/20,5,27440,12,2,28,11,8
2/6/20,5,30587,12,2,28,11,10
2/7/20,7,34110,13,3,30,11,10
2/8/20,7,36814,13,3,33,11,13
2/9/20,7,39829,14,3,40,11,13
2/10/20,7,42354,14,3,45,11,14
2/11/20,7,44386,16,3,47,12,15
2/12/20,7,44759,16,3,50,12,15
2/13/20,7,59895,16,3,58,13,16
2/14/20,7,66358,16,3,67,13,16
2/15/20,7,68413,16,3,72,13,16
2/16/20,7,70513,16,3,75,13,16
2/17/20,8,72434,16,3,77,13,16
2/18/20,8,74211,16,3,81,13,16
2/19/20,8,74619,16,3,84,13,16
2/20/20,8,75077,16,3,84,13,16
2/21/20,9,75550,16,20,85,15,16
2/22/20,9,77001,16,62,85,15,16
2/23/20,9,77022,16,155,89,15,16
2/24/20,10,77241,16,229,89,51,16
2/25/20,11,77754,17,322,91,51,16
2/26/20,11,78166,27,453,93,57,16
2/27/20,13,78600,46,655,93,58,16
2/28/20,14,78928,48,888,93,60,16
2/29/20,20,79356,79,1128,102,68,16
3/1/20,24,79932,130,1694,106,74,16
3/2/20,27,80136,159,2036,108,98,16
3/3/20,30,80261,196,2502,110,118,16
3/4/20,33,80386,262,3089,110,149,16
3/5/20,37,80537,482,3858,117,217,16
3/6/20,49,80690,670,4636,130,262,16
3/7/20,54,80770,799,5883,138,402,18
3/8/20,64,80823,1040,7375,150,518,30
3/9/20,77,80860,1176,9172,150,583,30
3/10/20,79,80887,1457,10149,160,959,31
3/11/20,108,80921,1908,12462,178,1281,38
3/12/20,117,80932,2078,12462,178,1663,39
3/13/20,193,80945,3675,17660,200,2179,47
3/14/20,198,80977,4585,21157,212,2727,53
3/15/20,252,81003,5795,24747,226,3499,56
3/16/20,415,81033,7272,27980,243,4632,61
3/17/20,478,81058,9257,31506,266,6421,66
3/18/20,657,81102,12327,35713,313,7783,75
3/19/20,800,81156,15320,41035,345,13677,85
3/20/20,943,81250,19848,47021,385,19100,91
3/21/20,1277,81305,22213,53578,432,25489,94
3/22/20,1469,81435,24873,59138,455,33276,113
3/23/20,2088,81498,29056,63927,509,43847,123
3/24/20,2790,81591,32986,69176,558,53740,134
3/25/20,3251,81661,37323,74386,631,65778,141
3/26/20,4042,81782,43938,80589,683,83836,153
3/27/20,4682,81897,50871,86498,732,101657,163
3/28/20,5576,81999,57695,92472,802,121478,174
3/29/20,6280,82122,62095,97689,844,140886,188
