Date,Brazil,Canada,China,Colombia,Finland,France,Germany,India,Italy,Kuwait,Malaysia,Mongolia,Romania,Singapore,South Africa,Spain,Thailand,United Kingdom,United States,Vietnam
2003-03-17,0,8,61,0,0,0,1,0,0,0,0,0,0,20,0,0,1,0,0,40
2003-03-18,0,8,75,0,0,0,1,0,0,0,0,0,0,23,0,0,1,1,0,56
2003-03-19,0,8,86,0,0,0,1,0,0,0,0,0,0,31,0,1,1,1,11,57
2003-03-20,0,9,95,0,0,0,1,0,0,0,0,0,0,34,0,1,1,2,11,58
2003-03-21,0,9,101,0,0,0,2,0,1,0,0,0,0,39,0,1,3,2,13,58
2003-03-22,0,9,111,0,0,0,2,0,2,0,0,0,0,44,0,1,3,2,22,58
2003-03-24,0,11,130,0,0,1,4,0,2,0,0,0,0,65,0,1,3,3,37,58
2003-03-25,0,11,143,0,0,1,4,0,2,0,0,0,0,69,0,1,3,3,37,58
2003-03-26,0,19,554,0,0,1,4,0,2,0,0,0,0,74,0,1,4,3,38,58
2003-03-27,0,28,586,0,0,1,4,0,2,0,0,0,1,78,0,1,4,3,39,58
2003-03-28,0,29,615,0,0,1,4,0,2,0,0,0,1,86,0,1,5,3,39,58
2003-03-29,0,37,638,0,0,1,4,0,2,0,0,0,1,89,0,1,5,3,39,58
2003-03-31,0,44,668,0,0,1,5,0,3,0,0,0,1,91,0,1,5,3,39,59
2003-04-01,0,53,745,0,0,1,5,0,3,0,0,0,1,92,0,1,6,3,40,59
2003-04-02,0,58,826,0,0,1,5,0,3,0,0,0,1,95,0,1,7,3,41,59
2003-04-03,1,62,949,0,0,3,5,0,3,0,0,0,1,98,0,1,7,3,41,62
2003-04-04,1,69,962,0,0,3,5,0,3,0,0,0,1,100,0,1,7,3,41,62
2003-04-05,1,74,990,0,0,3,5,0,3,0,1,0,1,101,0,1,7,4,45,62
2003-04-07,1,90,1010,0,0,3,5,0,3,0,1,0,1,106,0,1,7,4,51,62
2003-04-08,1,91,1075,0,0,4,5,0,3,0,1,0,1,113,0,1,7,4,52,62
2003-04-09,1,94,1103,0,0,4,5,0,3,0,1,0,1,118,0,1,7,4,54,62
2003-04-10,1,97,1125,0,0,4,6,0,3,1,3,0,1,126,0,1,7,4,54,62
