Date,Brazil,Canada,Colombia,Finland,France,Germany,India,Indonesia,Italy,Kuwait,Malaysia,Mongolia,New Zealand,Philippines,Republic of Ireland,Republic of Korea,Romania,Russian Federation,Singapore,South Africa,Spain,Sweden,Switzerland,Thailand,United Kingdom,United States,Vietnam,China
2003-03-17,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,1,0,0,40,95
2003-03-18,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,1,1,0,56,123
2003-03-19,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,1,1,1,11,57,150
2003-03-20,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,1,1,2,11,58,173
2003-03-21,0,9,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,39,0,1,0,1,3,2,13,58,203
2003-03-22,0,9,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,44,0,1,0,1,3,2,22,58,222
2003-03-24,0,11,0,0,1,4,0,0,2,0,0,0,0,0,1,0,0,0,65,0,1,0,1,3,3,37,58,260
2003-03-25,0,11,0,0,1,4,0,0,2,0,0,0,0,0,1,0,0,0,69,0,1,0,1,3,3,37,58,286
2003-03-26,0,19,0,0,1,4,0,0,2,0,0,0,0,0,1,0,0,0,74,0,1,0,1,4,3,38,58,1108
2003-03-27,0,28,0,0,1,4,0,0,2,0,0,0,0,0,1,0,1,0,78,0,1,0,1,4,3,39,58,1173
2003-03-28,0,29,0,0,1,4,0,0,2,0,0,0,0,0,1,0,1,0,86,0,1,0,1,5,3,39,58,1231
2003-03-29,0,37,0,0,1,4,0,0,2,0,0,0,0,0,1,0,1,0,89,0,1,0,1,5,3,39,58,1276
2003-03-31,0,44,0,0,1,5,0,0,3,0,0,0,0,0,1,0,1,0,91,0,1,0,1,5,3,39,59,1336
2003-04-01,0,53,0,0,1,5,0,0,3,0,0,0,0,0,1,0,1,0,92,0,1,0,1,6,3,40,59,1491
2003-04-02,0,58,0,0,1,5,0,0,3,0,0,0,0,0,1,0,1,0,95,0,1,0,1,7,3,41,59,1898
2003-04-03,1,62,0,0,3,5,0,0,3,0,0,0,0,0,1,0,1,0,98,0,1,0,1,7,3,41,62,1924
