,Canada,China,Germany,Italy,Singapore,US,Vietnam
1/22/20,0,28,0,0,0,0,0
1/23/20,0,30,0,0,0,0,0
1/24/20,0,36,0,0,0,0,0
1/25/20,0,39,0,0,0,0,0
1/26/20,0,49,0,0,0,0,0
1/27/20,0,58,0,0,0,0,0
1/28/20,0,101,0,0,0,0,0
1/29/20,0,120,0,0,0,0,0
1/30/20,0,135,0,0,0,0,0
1/31/20,0,214,0,0,0,0,0
2/1/20,0,275,0,0,0,0,1
2/2/20,0,463,0,0,0,0,1
2/3/20,0,614,0,0,0,0,1
2/4/20,0,843,0,0,0,0,1
2/5/20,0,1115,0,0,0,0,1
2/6/20,0,1477,0,0,0,0,1
2/7/20,0,1999,0,0,0,0,1
2/8/20,0,2596,0,0,2,0,1
2/9/20,0,3219,0,0,2,3,1
2/10/20,0,3918,0,0,2,3,1
2/11/20,0,4636,0,0,9,3,6
2/12/20,1,5082,0,0,15,3,6
2/13/20,1,6217,1,0,15,3,7
2/14/20,1,7977,1,0,17,3,7
2/15/20,1,9298,1,0,18,3,7
2/16/20,1,10755,1,0,18,3,7
2/17/20,1,12462,1,0,24,3,7
2/18/20,1,14206,12,0,29,3,7
2/19/20,1,15962,12,0,34,3,7
2/20/20,1,18014,12,0,34,3,7
2/21/20,3,18704,14,0,37,5,14
2/22/20,3,22699,14,1,37,5,14
2/23/20,3,23187,14,2,51,5,14
2/24/20,3,25015,14,1,51,5,14
2/25/20,3,27676,14,1,53,6,16
2/26/20,3,30084,15,3,62,6,16
2/27/20,6,32930,16,45,62,6,16
2/28/20,6,36329,16,46,62,7,16
2/29/20,6,39320,16,46,72,7,16
3/1/20,6,42162,16,83,72,7,16
3/2/20,6,44854,16,149,78,7,16
3/3/20,6,47450,16,160,78,7,16
3/4/20,6,50001,16,276,78,7,16
3/5/20,6,52292,16,414,78,7,16
3/6/20,6,53944,17,523,78,7,16
3/7/20,8,55539,18,589,78,7,16
3/8/20,8,57388,18,622,78,7,16
3/9/20,8,58804,18,724,78,7,16
3/10/20,8,60181,18,724,78,8,16
3/11/20,8,61644,25,1045,96,8,16
3/12/20,8,62901,25,1045,96,12,16
3/13/20,8,64196,46,1439,97,12,16
3/14/20,8,65660,46,1966,105,12,16
3/15/20,8,67017,46,2335,105,12,16
3/16/20,9,67910,67,2749,109,17,16
3/17/20,9,68798,67,2941,114,17,16
3/18/20,9,69755,105,4025,114,105,16
3/19/20,9,70535,113,4440,114,121,16
3/20/20,9,71266,180,4440,124,147,16
3/21/20,10,71857,233,6072,140,176,17
3/22/20,10,72362,266,7024,144,178,17
3/23/20,10,72814,266,7024,144,178,17
3/24/20,110,73280,3243,8326,156,348,17
3/25/20,183,73773,3547,9362,160,361,17
3/26/20,184,74181,5673,10361,172,681,20
3/27/20,256,74720,6658,10950,183,869,20
3/28/20,466,75100,8481,12384,198,1072,21
3/29/20,466,75582,9211,13030,212,2665,25
