,Cumulative Cases,Total Deaths
Brazil,3.0,
Canada 2003,252.0,38.0
Canada 2020,6280.0,64.0
China 2003,2437.0,646.0
China 2020,82122.0,3304.0
Colombia,1.0,
Finland,1.0,
France,7.0,
Germany 2003,10.0,0.0
Germany 2020,62095.0,533.0
India,3.0,
Italy 2003,9.0,0.0
Italy 2020,97689.0,10779.0
Kuwait,1.0,
Malaysia,8.0,
Mongolia,9.0,
Romania,3.0,
Singapore 2003,206.0,32.0
Singapore 2020,844.0,3.0
South Africa,1.0,
Spain,1.0,
Thailand,9.0,
US 2003,220.0,0.0
US 2020,140886.0,2467.0
United Kingdom,6.0,
Vietnam 2003,63.0,5.0
Vietnam 2020,188.0,0.0
