,Canada,China,Germany,Italy,Singapore,US,Vietnam
1/22/20,0,17,0,0,0,0,0
1/23/20,0,18,0,0,0,0,0
1/24/20,0,26,0,0,0,0,0
1/25/20,0,42,0,0,0,0,0
1/26/20,0,56,0,0,0,0,0
1/27/20,0,82,0,0,0,0,0
1/28/20,0,131,0,0,0,0,0
1/29/20,0,133,0,0,0,0,0
1/30/20,0,171,0,0,0,0,0
1/31/20,0,213,0,0,0,0,0
2/1/20,0,259,0,0,0,0,0
2/2/20,0,361,0,0,0,0,0
2/3/20,0,425,0,0,0,0,0
2/4/20,0,491,0,0,0,0,0
2/5/20,0,563,0,0,0,0,0
2/6/20,0,633,0,0,0,0,0
2/7/20,0,718,0,0,0,0,0
2/8/20,0,805,0,0,0,0,0
2/9/20,0,905,0,0,0,0,0
2/10/20,0,1012,0,0,0,0,0
2/11/20,0,1112,0,0,0,0,0
2/12/20,0,1117,0,0,0,0,0
2/13/20,0,1369,0,0,0,0,0
2/14/20,0,1521,0,0,0,0,0
2/15/20,0,1663,0,0,0,0,0
2/16/20,0,1766,0,0,0,0,0
2/17/20,0,1864,0,0,0,0,0
2/18/20,0,2003,0,0,0,0,0
2/19/20,0,2116,0,0,0,0,0
2/20/20,0,2238,0,0,0,0,0
2/21/20,0,2238,0,1,0,0,0
2/22/20,0,2443,0,2,0,0,0
2/23/20,0,2445,0,3,0,0,0
2/24/20,0,2595,0,7,0,0,0
2/25/20,0,2665,0,10,0,0,0
2/26/20,0,2717,0,12,0,0,0
2/27/20,0,2746,0,17,0,0,0
2/28/20,0,2790,0,21,0,0,0
2/29/20,0,2837,0,29,0,1,0
3/1/20,0,2872,0,34,0,1,0
3/2/20,0,2914,0,52,0,6,0
3/3/20,0,2947,0,79,0,7,0
3/4/20,0,2983,0,107,0,11,0
3/5/20,0,3015,0,148,0,12,0
3/6/20,0,3044,0,197,0,14,0
3/7/20,0,3072,0,233,0,17,0
3/8/20,0,3100,0,366,0,21,0
3/9/20,1,3123,2,463,0,22,0
3/10/20,1,3139,2,631,0,28,0
3/11/20,1,3161,3,827,0,36,0
3/12/20,1,3172,3,827,0,40,0
3/13/20,1,3180,7,1266,0,47,0
3/14/20,1,3193,9,1441,0,54,0
3/15/20,1,3203,11,1809,0,63,0
3/16/20,4,3217,17,2158,0,85,0
3/17/20,5,3230,24,2503,0,108,0
3/18/20,8,3241,28,2978,0,118,0
3/19/20,9,3249,44,3405,0,200,0
3/20/20,12,3253,67,4032,0,244,0
3/21/20,19,3259,84,4825,2,307,0
3/22/20,21,3274,94,5476,2,417,0
3/23/20,25,3274,123,6077,2,557,0
3/24/20,26,3281,157,6820,2,706,0
3/25/20,30,3285,206,7503,2,942,0
3/26/20,38,3291,267,8215,2,1209,0
3/27/20,54,3296,342,9134,2,1581,0
3/28/20,61,3299,433,10023,2,2026,0
3/29/20,64,3304,533,10779,3,2467,0
