Date,Canada,Germany,Italy,Singapore,United States,Vietnam,China
2003-03-17,0,0,0,0,0,0,0
2003-03-18,0,0,0,0,0,0,0
2003-03-19,0,0,0,0,0,0,0
2003-03-20,0,0,0,0,0,0,0
2003-03-21,0,0,0,0,0,0,0
2003-03-22,0,0,0,0,0,0,0
2003-03-24,0,0,0,0,0,0,0
2003-03-25,0,0,0,0,0,0,0
2003-03-26,0,0,0,0,0,0,0
2003-03-27,0,0,0,0,0,0,0
2003-03-28,0,0,0,0,0,0,0
2003-03-29,0,0,0,0,0,0,0
2003-03-31,0,0,0,0,0,0,0
2003-04-01,0,0,0,0,0,0,0
2003-04-02,0,0,0,0,0,0,0
2003-04-03,0,0,0,0,0,0,0
2003-04-04,0,0,0,0,0,0,0
2003-04-05,0,0,0,0,0,0,0
2003-04-07,0,0,0,0,0,0,0
2003-04-08,0,0,0,0,0,0,0
2003-04-09,0,0,0,0,0,0,0
2003-04-10,22,2,1,75,0,43,1179
2003-04-11,25,4,2,77,0,43,1206
2003-04-12,26,4,2,77,0,44,1298
2003-04-14,27,4,2,84,0,46,1317
2003-04-15,27,4,2,85,0,46,1331
2003-04-16,37,4,2,85,0,46,1351
2003-04-17,46,4,2,91,0,46,1379
2003-04-18,54,4,2,100,0,46,1503
2003-04-19,54,4,2,100,0,46,1503
2003-04-21,54,4,2,104,0,46,1623
2003-04-22,65,6,2,110,0,46,1662
2003-04-23,65,6,2,114,0,46,1753
2003-04-24,67,6,3,118,0,49,1821
2003-04-25,74,6,3,126,0,53,1891
2003-04-26,77,6,3,126,0,53,1917
2003-04-28,77,6,3,137,0,53,2009
2003-04-29,86,6,4,139,0,53,2081
2003-04-30,87,7,4,139,0,53,2123
2003-05-01,87,7,4,143,23,56,2185
2003-05-02,93,7,4,146,24,56,2250
2003-05-03,93,7,4,147,24,58,2304
2003-05-05,93,7,4,149,26,58,2363
2003-05-06,93,7,4,149,32,58,2418
2003-05-07,94,7,4,150,32,58,2471
2003-05-08,94,7,4,153,32,58,2537
2003-05-09,95,9,4,153,32,58,2597
2003-05-10,97,9,4,155,32,58,2655
2003-05-12,98,9,4,156,32,58,2759
2003-05-13,99,9,4,157,32,58,2855
2003-05-14,104,9,4,157,32,58,2939
2003-05-15,106,9,4,157,33,58,3018
2003-05-16,106,9,5,157,33,58,3118
2003-05-17,106,9,5,157,33,58,3200
2003-05-19,106,9,5,160,33,58,3361
2003-05-20,107,9,5,161,33,58,3483
2003-05-21,108,9,6,161,33,58,3572
2003-05-22,109,9,8,162,33,58,3692
2003-05-23,109,9,9,163,33,58,3799
2003-05-24,109,9,9,163,34,58,3941
2003-05-26,110,9,9,163,34,58,4105
2003-05-27,111,9,9,163,34,58,4229
2003-05-28,111,9,9,165,34,58,4331
2003-05-29,112,9,9,165,34,58,4423
2003-05-30,112,9,9,165,34,58,4554
2003-05-31,116,9,9,165,34,58,4681
2003-06-02,116,9,9,165,34,58,4815
2003-06-03,116,9,9,165,35,58,4885
2003-06-04,120,9,9,165,35,58,5014
2003-06-05,120,9,9,165,35,58,5114
2003-06-06,121,9,9,165,35,58,5220
2003-06-09,128,9,9,168,35,58,5552
2003-06-10,131,9,9,168,36,58,5663
2003-06-11,134,9,9,168,36,58,5759
2003-06-12,141,9,9,169,36,58,5835
2003-06-13,150,9,9,169,36,58,5911
2003-06-16,156,9,9,169,36,58,6043
2003-06-17,171,9,9,169,36,58,6113
2003-06-18,175,9,9,169,36,58,6156
2003-06-19,176,9,9,170,36,58,6183
2003-06-20,180,9,9,170,36,58,6210
2003-06-23,182,9,9,170,36,58,6307
2003-06-24,188,9,9,170,36,58,6319
2003-06-25,188,9,9,170,36,58,6336
2003-06-26,190,9,9,170,36,58,6341
2003-06-27,191,9,9,171,63,58,6344
2003-06-30,192,9,9,171,63,58,6357
2003-07-01,192,9,9,171,63,58,6360
2003-07-02,192,9,9,171,64,58,6363
2003-07-03,193,9,9,171,64,58,6363
2003-07-04,193,9,9,171,65,58,6365
2003-07-07,193,9,9,171,65,58,6365
2003-07-08,193,9,9,171,65,58,6365
2003-07-09,194,9,9,171,67,58,6371
2003-07-10,194,9,9,172,67,58,6373
2003-07-11,194,9,9,172,67,58,6375
